task,image_1,image_2,scrambled,
AnimalReward,../User/Stimuli/unscrambledgaze_images/bird1.jpg,../User/Stimuli/unscrambledgaze_images/cold1.jpg,unscrambled,
AnimalReward,../User/Stimuli/unscrambledgaze_images/bird3.jpg,../User/Stimuli/unscrambledgaze_images/car1.jpg,unscrambled,
AnimalReward,../User/Stimuli/unscrambledgaze_images/cat5.jpg,../User/Stimuli/unscrambledgaze_images/bricks1.jpg,unscrambled,
AnimalReward,../User/Stimuli/unscrambledgaze_images/chipmunk2.jpg,../User/Stimuli/unscrambledgaze_images/phone1.jpg,unscrambled,
AnimalReward,../User/Stimuli/unscrambledgaze_images/dog6.jpg,../User/Stimuli/unscrambledgaze_images/archery2.jpg,unscrambled,
AnimalReward,../User/Stimuli/scrambledgaze_images/elephant1.jpg,../User/Stimuli/scrambledgaze_images/cups1.jpg,scrambled,
AnimalReward,../User/Stimuli/scrambledgaze_images/horse1.jpg,../User/Stimuli/scrambledgaze_images/fence1.jpg,scrambled,
AnimalReward,../User/Stimuli/scrambledgaze_images/lamb1.jpg,../User/Stimuli/scrambledgaze_images/firehydrant1.jpg,scrambled,
AnimalReward,../User/Stimuli/scrambledgaze_images/penguins2.jpg,../User/Stimuli/scrambledgaze_images/roofing2.jpg,scrambled,
AnimalReward,../User/Stimuli/scrambledgaze_images/zebra1.jpg,../User/Stimuli/scrambledgaze_images/sidewalk1.jpg,scrambled,
NonsocialReward,../User/Stimuli/scrambledgaze_images/beach1.jpg,../User/Stimuli/scrambledgaze_images/ambulance3.jpg,scrambled,
NonsocialReward,../User/Stimuli/scrambledgaze_images/bridge1.jpg,../User/Stimuli/scrambledgaze_images/road1.jpg,scrambled,
NonsocialReward,../User/Stimuli/scrambledgaze_images/fireworks2.jpg,../User/Stimuli/scrambledgaze_images/officesupplies3.jpg,scrambled,
NonsocialReward,../User/Stimuli/scrambledgaze_images/flowers8.jpg,../User/Stimuli/scrambledgaze_images/solarpanel1.jpg,scrambled,
NonsocialReward,../User/Stimuli/scrambledgaze_images/galaxy7.jpg,../User/Stimuli/scrambledgaze_images/billiards1.jpg,scrambled,
NonsocialReward,../User/Stimuli/unscrambledgaze_images/lake9.jpg,../User/Stimuli/unscrambledgaze_images/cups2.jpg,unscrambled,
NonsocialReward,../User/Stimuli/unscrambledgaze_images/nature1.jpg,../User/Stimuli/unscrambledgaze_images/fence2.jpg,unscrambled,
NonsocialReward,../User/Stimuli/unscrambledgaze_images/nature2.jpg,../User/Stimuli/unscrambledgaze_images/firehydrant2.jpg,unscrambled,
NonsocialReward,../User/Stimuli/unscrambledgaze_images/rainbow2.jpg,../User/Stimuli/unscrambledgaze_images/roofing3.jpg,unscrambled,
NonsocialReward,../User/Stimuli/unscrambledgaze_images/sunset5.jpg,../User/Stimuli/unscrambledgaze_images/sidewalk3.jpg,unscrambled,
SocialReward,../User/Stimuli/scrambledgaze_images/baby1.jpg,../User/Stimuli/scrambledgaze_images/motocross1.jpg,scrambled,
SocialReward,../User/Stimuli/scrambledgaze_images/couple4.jpg,../User/Stimuli/scrambledgaze_images/carrace3.jpg,scrambled,
SocialReward,../User/Stimuli/unscrambledgaze_images/dancing7.jpg,../User/Stimuli/unscrambledgaze_images/timber2.jpg,unscrambled,
SocialReward,../User/Stimuli/unscrambledgaze_images/excitedface2.jpg,../User/Stimuli/unscrambledgaze_images/officesupplies5.jpg,unscrambled,
SocialReward,../User/Stimuli/unscrambledgaze_images/father1.jpg,../User/Stimuli/unscrambledgaze_images/biking1.jpg,unscrambled,
SocialReward,../User/Stimuli/unscrambledgaze_images/gazing6.jpg,../User/Stimuli/unscrambledgaze_images/cups4.jpg,unscrambled,
SocialReward,../User/Stimuli/unscrambledgaze_images/mother1.jpg,../User/Stimuli/unscrambledgaze_images/fence6.jpg,unscrambled,
SocialReward,../User/Stimuli/scrambledgaze_images/Picnic1.jpg,../User/Stimuli/scrambledgaze_images/firehydrant3.jpg,scrambled,
SocialReward,../User/Stimuli/scrambledgaze_images/siblings1.jpg,../User/Stimuli/scrambledgaze_images/roofing5.jpg,scrambled,
SocialReward,../User/Stimuli/scrambledgaze_images/wedding10.jpg,../User/Stimuli/scrambledgaze_images/sidewalk5.jpg,scrambled,
,,,,