item_name,Text,Type,Answers,Values,Score: PA_SO,Score: GA,Score: SEP,Score: SOC,score SOC_TOTAL,Optional,btn_width,side_text,
Instruction,<span style='color:#006699'><span style='font-size:20px'>Choose one response that best describes how strongly each item applies to you:</span></span>,instruct,,,,,,,,,,,
SCAARED1,"When I feel nervous, it is hard for me to breathe.",likert,Not True or Hardly Ever True| Somewhat True or Sometimes True | Very True or Often True,0|1|2,1,,,,1,No,250px,,
SCAARED2,"I get headaches when I am at school, at work or in public places.",likert,Not True or Hardly Ever True| Somewhat True or Sometimes True | Very True or Often True,0|1|2,1,,,,1,No,250px,,
SCAARED3,I don't like to be with people I don't know well.,likert,Not True or Hardly Ever True| Somewhat True or Sometimes True | Very True or Often True,0|1|2,,,,1,1,No,250px,,
SCAARED4,I get nervous if I sleep away from home.,likert,Not True or Hardly Ever True| Somewhat True or Sometimes True | Very True or Often True,0|1|2,,,1,,1,No,250px,,
SCAARED5,I worry about people liking me.,likert,Not True or Hardly Ever True| Somewhat True or Sometimes True | Very True or Often True,0|1|2,,1,,,1,No,250px,,
SCAARED6,"When I get anxious, I feel like passing out.",likert,Not True or Hardly Ever True| Somewhat True or Sometimes True | Very True or Often True,0|1|2,1,,,,1,No,250px,,
SCAARED7,I am nervous.,likert,Not True or Hardly Ever True| Somewhat True or Sometimes True | Very True or Often True,0|1|2,,1,,,1,No,250px,,
SCAARED8,It is hard for me to stop worrying.,likert,Not True or Hardly Ever True| Somewhat True or Sometimes True | Very True or Often True,0|1|2,,1,,,1,No,250px,,
SCAARED9,People tell me I look nervous.,likert,Not True or Hardly Ever True| Somewhat True or Sometimes True | Very True or Often True,0|1|2,1,,,,1,No,250px,,
SCAARED10,"I feel nervous with people I don't know well. ",likert,Not True or Hardly Ever True| Somewhat True or Sometimes True | Very True or Often True,0|1|2,,,,1,1,No,250px,,
SCAARED11,"I get stomachaches at school, at work or in public places. ",likert,Not True or Hardly Ever True| Somewhat True or Sometimes True | Very True or Often True,0|1|2,1,,,,1,No,250px,,
SCAARED12,"When I get anxious, I feel like I'm going crazy.",likert,Not True or Hardly Ever True| Somewhat True or Sometimes True | Very True or Often True,0|1|2,1,,,,1,No,250px,,
SCAARED13,I worry about sleeping alone.,likert,Not True or Hardly Ever True| Somewhat True or Sometimes True | Very True or Often True,0|1|2,,,1,,1,No,250px,,
SCAARED14,I worry about being as good as other people.,likert,Not True or Hardly Ever True| Somewhat True or Sometimes True | Very True or Often True,0|1|2,,1,,,1,No,250px,,
SCAARED15,"When i get anxious, I feel like things are not real.",likert,Not True or Hardly Ever True| Somewhat True or Sometimes True | Very True or Often True,0|1|2,1,,,,1,No,250px,,
SCAARED16,I have nightmares about something bad happening to my family.,likert,Not True or Hardly Ever True| Somewhat True or Sometimes True | Very True or Often True,0|1|2,,,1,,1,No,250px,,
SCAARED17,"I worry about going to work or school, or to public places.",likert,Not True or Hardly Ever True| Somewhat True or Sometimes True | Very True or Often True,0|1|2,1,,,,1,No,250px,,
SCAARED18,"When I get anxious, my heart beats fast.",likert,Not True or Hardly Ever True| Somewhat True or Sometimes True | Very True or Often True,0|1|2,1,,,,1,No,250px,,
SCAARED19,"I get shaky. ",likert,Not True or Hardly Ever True| Somewhat True or Sometimes True | Very True or Often True,0|1|2,1,,,,1,No,250px,,
SCAARED20,"I have nightmares about something bad happening to me. ",likert,Not True or Hardly Ever True| Somewhat True or Sometimes True | Very True or Often True,0|1|2,,,1,,1,No,250px,,
SCAARED21,"I worry about things working out for me. ",likert,Not True or Hardly Ever True| Somewhat True or Sometimes True | Very True or Often True,0|1|2,,1,,,1,No,250px,,
SCAARED22,"When I get anxious, I sweat a lot.",likert,Not True or Hardly Ever True| Somewhat True or Sometimes True | Very True or Often True,0|1|2,1,,,,1,No,250px,,
SCAARED23,"I am a worrier. ",likert,Not True or Hardly Ever True| Somewhat True or Sometimes True | Very True or Often True,0|1|2,,1,,,1,No,250px,,
SCAARED24,"When I worry a lot, I have trouble sleeping.",likert,Not True or Hardly Ever True| Somewhat True or Sometimes True | Very True or Often True,0|1|2,,1,,,1,No,250px,,
SCAARED25,"I get really frightened for no reason at all. ",likert,Not True or Hardly Ever True| Somewhat True or Sometimes True | Very True or Often True,0|1|2,1,,,,1,No,250px,,
SCAARED26,"I am afraid to be alone in the house. ",likert,Not True or Hardly Ever True| Somewhat True or Sometimes True | Very True or Often True,0|1|2,,,1,,1,No,250px,,
SCAARED27,"It is hard for me to talk with people I don't know well. ",likert,Not True or Hardly Ever True| Somewhat True or Sometimes True | Very True or Often True,0|1|2,,,,1,1,No,250px,,
SCAARED28,"When I get anxious, I feel like I'm choking.",likert,Not True or Hardly Ever True| Somewhat True or Sometimes True | Very True or Often True,0|1|2,1,,,,1,No,250px,,
SCAARED29,"People tell me that I worry too much. ",likert,Not True or Hardly Ever True| Somewhat True or Sometimes True | Very True or Often True,0|1|2,,1,,,1,No,250px,,
SCAARED30,"I don't like to be away from my family. ",likert,Not True or Hardly Ever True| Somewhat True or Sometimes True | Very True or Often True,0|1|2,,,1,,1,No,250px,,
SCAARED31,"When I worry a lot, I feel restless. ",likert,Not True or Hardly Ever True| Somewhat True or Sometimes True | Very True or Often True,0|1|2,,1,,,1,No,250px,,
SCAARED32,I am afraid of having anxiety (or panic) attacks.,likert,Not True or Hardly Ever True| Somewhat True or Sometimes True | Very True or Often True,0|1|2,1,,,,1,No,250px,,
SCAARED33,"I worry that something bad might happen to my family. ",likert,Not True or Hardly Ever True| Somewhat True or Sometimes True | Very True or Often True,0|1|2,,,1,,1,No,250px,,
SCAARED34,"I feel shy with people I don't know well. ",likert,Not True or Hardly Ever True| Somewhat True or Sometimes True | Very True or Often True,0|1|2,,,,1,1,No,250px,,
SCAARED35,"I worry about what is going to happen in the future. ",likert,Not True or Hardly Ever True| Somewhat True or Sometimes True | Very True or Often True,0|1|2,,1,,,1,No,250px,,
SCAARED36,"When I get anxious, I feel like throwing up. ",likert,Not True or Hardly Ever True| Somewhat True or Sometimes True | Very True or Often True,0|1|2,1,,,,1,No,250px,,
SCAARED37,I worry about how well I do things.,likert,Not True or Hardly Ever True| Somewhat True or Sometimes True | Very True or Often True,0|1|2,,1,,,1,No,250px,,
SCAARED38,I am afraid to go outside or to crowded places by myself.,likert,Not True or Hardly Ever True| Somewhat True or Sometimes True | Very True or Often True,0|1|2,1,,,,1,No,250px,,
SCAARED39,"I worry about things that have already happened. ",likert,Not True or Hardly Ever True| Somewhat True or Sometimes True | Very True or Often True,0|1|2,,1,,,1,No,250px,,
SCAARED40,"When I get anxious, I feel dizzy. ",likert,Not True or Hardly Ever True| Somewhat True or Sometimes True | Very True or Often True,0|1|2,1,,,,1,No,250px,,
SCAARED41,"I feel nervous when I am with other people and I have to do something while they watch me (for example: speak, play a sport.)",likert,Not True or Hardly Ever True| Somewhat True or Sometimes True | Very True or Often True,0|1|2,,,,1,1,No,250px,,
SCAARED42,"I feel nervous when I go to parties, dances, or any place where there will be people that I don't know well.",likert,Not True or Hardly Ever True| Somewhat True or Sometimes True | Very True or Often True,0|1|2,,,,1,1,No,250px,,
SCAARED43,I am shy.,likert,Not True or Hardly Ever True| Somewhat True or Sometimes True | Very True or Often True,0|1|2,,,,1,1,No,250px,,
SCAARED44,"When I worry a lot, I feel irritable.",likert,Not True or Hardly Ever True| Somewhat True or Sometimes True | Very True or Often True,0|1|2,,1,,,1,No,250px,,
Scaared_stigma,How much have you been shamed or stigmatised for the above behaviour?,likert,1|2|3|4|5|6|7|8|9|10|11,1|2|3|4|5|6|7|8|9|10|11,,,,,,No,,Not at all|Extremely,
,,,,,,,,,,,,,